date,CPI_CHN,PPI_CHN,PMI_CHN,GDP_CHN_YOY,M2_CHN_YOY,LPR1Y_CHN,RS_CHN_YOY
2006-01-01,,3.05,,,,,
2006-01-31,,,,12.4,,,
2006-02-01,,3.01,,,,,
2006-02-28,,,,12.4,,,
2006-03-01,,2.49,,,,,
2006-03-31,,,,12.4,,,
2006-04-01,,1.87,,,,,
2006-04-30,,,,12.4,,,
2006-05-01,,2.43,,,,,
2006-05-31,,,,12.4,,,
2006-06-01,,3.52,,,,,
2006-06-30,,,,12.4,,,
2006-07-01,,3.58,,,,,
2006-07-31,,,,12.4,,,
2006-08-01,,3.4,,,,,
2006-08-31,,,,12.4,,,
2006-09-01,,3.45,,,,,
2006-09-30,,,,12.4,,,
2006-10-01,,2.9,,,,,
2006-10-31,,,,12.4,,,
2006-11-01,,2.78,,,,,
2006-11-30,,,,12.4,,,
2006-12-01,,3.05,,,,,
2006-12-31,,,,12.4,,,
2007-01-01,,3.3,,,,,
2007-01-31,,,,14.2,,,
2007-02-01,,2.6,,,,,
2007-02-28,,,,14.2,,,
2007-03-01,,2.65,,,,,
2007-03-31,,,,14.2,,,
2007-04-01,,2.87,,,,,
2007-04-30,,,,14.2,,,
2007-05-01,,2.76,,,,,
2007-05-31,,,,14.2,,,
2007-06-01,,2.49,,,,,
2007-06-30,,,,14.2,,,
2007-07-01,,2.39,,,,,
2007-07-31,,,,14.2,,,
2007-08-01,,2.56,,,,,
2007-08-31,,,,14.2,,,
2007-09-01,,2.71,,,,,
2007-09-30,,,,14.2,,,
2007-10-01,,3.21,,,,,
2007-10-31,,,,14.2,,,
2007-11-01,,4.55,,,,,
2007-11-30,,,,14.2,,,
2007-12-01,,5.43,,,,,
2007-12-31,,,,14.2,,,
2008-01-01,7.0781,6.07,53.0,,18.88,,21.2
2008-01-31,,,,11.6,,,
2008-02-01,8.7443,6.62,53.4,,17.39,,19.1
2008-02-29,,,,11.6,,,
2008-03-01,8.3097,7.95,58.4,,16.19,,21.5
2008-03-31,,,,11.6,,,
2008-04-01,8.4829,8.12,59.2,,16.94,,22.0
2008-04-30,,,,11.6,,,
2008-05-01,7.7163,8.22,53.3,,18.07,,21.6
2008-05-31,,,,11.6,,,
2008-06-01,7.0844,8.84,52.0,,17.37,,23.0
2008-06-30,,,,11.6,,,
2008-07-01,6.302,10.03,48.4,,16.35,,23.3
2008-07-31,,,,11.6,,,
2008-08-01,4.9001,10.06,48.4,,16.0,,23.2
2008-08-31,,,,11.6,,,
2008-09-01,4.6425,9.13,51.2,,15.29,,23.2
2008-09-30,,,,11.6,,,
2008-10-01,3.9744,6.59,44.6,,15.02,,22.0
2008-10-31,,,,11.6,,,
2008-11-01,2.434,1.99,38.8,,14.8,,20.8
2008-11-30,,,,11.6,,,
2008-12-01,1.1999,-1.14,41.2,,17.82,,19.0
2008-12-31,,,,11.6,,,
2009-01-01,0.95,-3.35,45.3,,18.79,,18.5
2009-01-31,,,,7.3,,,
2009-02-01,-1.5582,-4.47,49.0,,20.48,,11.6
2009-02-28,,,,7.3,,,
2009-03-01,-1.1714,-5.99,52.4,,25.51,,14.7
2009-03-31,,,,7.3,,,
2009-04-01,-1.5,-6.6,53.5,,25.95,,14.8
2009-04-30,,,,7.3,,,
2009-05-01,-1.3713,-7.2,53.1,,25.74,,15.2
2009-05-31,,,,7.3,,,
2009-06-01,-1.7,-7.8,53.2,,28.46,,15.0
2009-06-30,,,,7.3,,,
2009-07-01,-1.8057,-8.22,53.3,,28.42,,15.2
2009-07-31,,,,7.3,,,
2009-08-01,-1.2043,-7.86,54.0,,28.53,,15.4
2009-08-31,,,,7.3,,,
2009-09-01,-0.7883,-6.99,54.3,,29.31,,15.52215106
2009-09-30,,,,7.3,,,
2009-10-01,-0.53,-5.85,55.2,,29.42,,16.21490275
2009-10-31,,,,7.3,,,
2009-11-01,0.56,-2.08,55.2,,29.74,,15.81280386
2009-11-30,,,,7.3,,,
2009-12-01,1.8559,1.7,56.6,,27.68,,17.53740038
2009-12-31,,,,7.3,,,
2010-01-01,1.53,4.32,55.8,,25.98,,14.0
2010-01-31,,,,12.2,,,
2010-02-01,2.6953,5.39,52.0,,25.52,,22.1
2010-02-28,,,,12.2,,,
2010-03-01,2.3707,5.91,55.1,,22.5,,18.0
2010-03-31,,,,12.2,,,
2010-04-01,2.8136,6.81,55.7,,21.48,,18.5
2010-04-30,,,,12.2,,,
2010-05-01,3.0613,7.13,53.9,,21.0,,18.6573
2010-05-31,,,,12.2,,,
2010-06-01,2.9499,6.41,52.1,,18.5,,18.3
2010-06-30,,,,12.2,,,
