date,WALCL,TREAST,WTREGEN,WORAL,WCURCIR,WDTGAL,TOTBKCR,TOTLL
2002-01-02,,,,,,,5064.997,3749.8166
2002-01-09,,,,,,,5058.4711,3751.6313
2002-01-16,,,,,,,5042.3467,3744.2158
2002-01-23,,,,,,,5041.487,3743.6204
2002-01-30,,,,,,,5035.0418,3740.3836
2002-02-06,,,,,,,5053.9288,3757.3688
2002-02-13,,,,,,,5051.0768,3753.4552
2002-02-20,,,,,,,5062.3866,3764.2507
2002-02-27,,,,,,,5058.5378,3755.0285
2002-03-06,,,,,,,5054.9132,3744.5957
2002-03-13,,,,,,,5051.9517,3743.8513
2002-03-20,,,,,,,5087.5671,3758.852
2002-03-27,,,,,,,5082.1002,3763.6937
2002-04-03,,,,,,,5076.6313,3755.8634
2002-04-10,,,,,,,5082.5364,3756.8706
2002-04-17,,,,,,,5084.2902,3754.8114
2002-04-24,,,,,,,5078.1859,3759.6423
2002-05-01,,,,,,,5065.4707,3745.3818
2002-05-08,,,,,,,5066.3882,3742.2841
2002-05-15,,,,,,,5083.672,3748.2242
2002-05-22,,,,,,,5090.7694,3750.0043
2002-05-29,,,,,,,5087.5231,3753.7627
2002-06-05,,,,,,,5106.6519,3756.3585
2002-06-12,,,,,,,5107.959,3764.303
2002-06-19,,,,,,,5119.723,3772.248
2002-06-26,,,,,,,5124.813,3778.6204
2002-07-03,,,,,,,5112.9419,3769.2034
2002-07-10,,,,,,,5125.6845,3769.6731
2002-07-17,,,,,,,5125.8065,3777.7639
2002-07-24,,,,,,,5154.0132,3789.759
2002-07-31,,,,,,,5157.0425,3788.1948
2002-08-07,,,,,,,5167.0978,3795.1518
2002-08-14,,,,,,,5187.1641,3808.6059
2002-08-21,,,,,,,5197.7415,3817.4969
2002-08-28,,,,,,,5218.8747,3830.0877
2002-09-04,,,,,,,5240.0884,3837.5899
2002-09-11,,,,,,,5233.0895,3840.1215
2002-09-18,,,,,,,5245.0779,3853.824
2002-09-25,,,,,,,5259.6117,3857.5165
2002-10-02,,,,,,,5306.2366,3886.4913
2002-10-09,,,,,,,5319.4108,3896.5416
2002-10-16,,,,,,,5323.5427,3910.9139
2002-10-23,,,,,,,5344.573,3906.8679
2002-10-30,,,,,,,5352.0484,3913.0202
2002-11-06,,,,,,,5373.9416,3923.0701
2002-11-13,,,,,,,5395.3935,3938.8087
2002-11-20,,,,,,,5385.6844,3934.2999
2002-11-27,,,,,,,5409.2992,3952.5848
2002-12-04,,,,,,,5423.8772,3956.8705
2002-12-11,,,,,,,5470.2542,3975.58
2002-12-18,719542.0,629397.0,5959.0,30000.0,675482.0,6595.0,5451.4178,3970.0936
2002-12-25,732059.0,629402.0,4678.0,37250.0,681523.0,4662.0,5463.6293,3972.5465
2003-01-01,730994.0,629406.0,5016.0,39500.0,686685.0,4420.0,5465.9682,3963.6433
2003-01-08,723762.0,629406.0,4829.0,33750.0,683223.0,5490.0,5483.0202,3977.3327
2003-01-15,720074.0,629406.0,5244.0,30000.0,676426.0,5192.0,5473.8689,3975.0133
2003-01-22,735953.0,629406.0,6133.0,36750.0,675941.0,6119.0,5468.7819,3982.597
2003-01-29,712809.0,629406.0,7162.0,20500.0,674782.0,7030.0,5457.0023,3985.4629
2003-02-05,719643.0,629401.0,5392.0,27750.0,675778.0,5664.0,5491.1605,3990.3401
2003-02-12,713281.0,630947.0,4681.0,20746.0,678459.0,3527.0,5502.7595,4000.1092
2003-02-19,730400.0,631263.0,5048.0,34496.0,682830.0,4407.0,5516.7432,4004.6764
2003-02-26,721980.0,635996.0,5249.0,25750.0,682262.0,4950.0,5519.5543,4004.9692
2003-03-05,722649.0,637139.0,4909.0,23250.0,682387.0,5501.0,5541.2856,4011.9777
2003-03-12,717014.0,638714.0,5196.0,18750.0,683029.0,4775.0,5552.1992,4022.4144
2003-03-19,729923.0,639889.0,4979.0,27000.0,683717.0,3607.0,5531.9556,4014.4376
2003-03-26,725019.0,640891.0,5916.0,25500.0,684519.0,5927.0,5523.9529,4005.836
2003-04-02,732452.0,641472.0,5654.0,30500.0,685884.0,6199.0,5559.459,4029.8534
2003-04-09,727826.0,645074.0,6528.0,21250.0,686974.0,6872.0,5563.9148,4043.3773
2003-04-16,745838.0,646785.0,6470.0,38000.0,687634.0,8821.0,5565.4879,4048.6677
2003-04-23,732222.0,646891.0,8927.0,24500.0,687541.0,9285.0,5600.6868,4047.0569
2003-04-30,746294.0,647271.0,8763.0,37501.0,687244.0,10583.0,5623.2721,4052.6094
2003-05-07,733466.0,647570.0,7113.0,22251.0,688815.0,6050.0,5632.1856,4075.2142
2003-05-14,740371.0,647937.0,7139.0,30752.0,689722.0,7199.0,5643.7022,4079.2295
2003-05-21,734699.0,650725.0,6899.0,26251.0,689936.0,7608.0,5642.3822,4073.9333
2003-05-28,744896.0,650859.0,5543.0,32000.0,693612.0,4825.0,5656.6741,4072.8867
2003-06-04,731667.0,651403.0,6487.0,19000.0,692938.0,6126.0,5675.0865,4079.1687
2003-06-11,743236.0,651603.0,6515.0,32500.0,692190.0,6031.0,5682.7568,4091.4535
2003-06-18,735926.0,651922.0,7147.0,23000.0,691540.0,8086.0,5685.9405,4089.8384
2003-06-25,744018.0,651993.0,7199.0,32000.0,691146.0,5306.0,5682.1997,4087.5929
2003-07-02,740126.0,652353.0,6087.0,26000.0,693612.0,5707.0,5751.4936,4121.7915
2003-07-09,744430.0,652451.0,6218.0,29250.0,697862.0,6356.0,5745.999,4124.3829
2003-07-16,737765.0,652690.0,6479.0,24000.0,694526.0,5724.0,5703.2003,4126.0516
2003-07-23,745665.0,652827.0,6067.0,32000.0,692719.0,6058.0,5729.9058,4126.3213
2003-07-30,740295.0,652856.0,6205.0,26250.0,692566.0,6174.0,5736.3853,4139.7658
2003-08-06,734018.0,653024.0,5639.0,18250.0,694304.0,6400.0,5753.5502,4160.0155
2003-08-13,735386.0,653278.0,5611.0,19000.0,694989.0,5720.0,5729.8984,4161.6122
2003-08-20,750825.0,653516.0,5644.0,39500.0,694728.0,6533.0,5735.1052,4165.31
2003-08-27,740637.0,653671.0,5974.0,29000.0,694765.0,5441.0,5717.5117,4155.4586
2003-09-03,750461.0,653931.0,4843.0,33250.0,700111.0,4525.0,5741.0486,4171.4352
2003-09-10,737234.0,655592.0,4745.0,22500.0,698497.0,5039.0,5750.9128,4177.3608
2003-09-17,743939.0,655943.0,6084.0,29250.0,696224.0,7247.0,5734.5779,4169.9082
2003-09-24,741193.0,655993.0,7540.0,26000.0,695964.0,6837.0,5706.7482,4144.7279
2003-10-01,753155.0,656186.0,6922.0,36750.0,696782.0,4922.0,5719.0182,4143.0753
